File,Category,Lines,Migration Effort,Hardcoded Colors,Tailwind Classes,Design System Vars,Inline Styles,CSS Modules,Issues,Recommendations
index.tsx,other,8,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
App.tsx,other,129,low,0,6,0,0,0,"Found 6 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
lazyLoad.tsx,other,23,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
test-utils.tsx,other,302,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
WebSocketProvider.tsx,other,268,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
SocketProvider.tsx,other,119,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
I18nProvider.tsx,other,60,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
GameProvider.tsx,other,407,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
AuthProvider.tsx,other,287,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
Settings.tsx,other,30,low,0,6,0,0,0,"Found 6 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
RegisterPage.tsx,other,366,high,0,79,0,0,0,"Found 31 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
LoginPage.tsx,other,252,high,0,60,0,0,0,"Found 29 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
LandingPage.tsx,other,343,high,0,235,0,0,0,"Found 74 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
GameSession.tsx,other,311,high,0,99,0,0,0,"Found 36 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
Dashboard.tsx,other,344,high,0,83,0,0,0,"Found 35 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CharacterEditor.tsx,other,88,low,0,19,0,0,0,"Found 14 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
CampaignBrowser.tsx,other,411,high,0,148,0,0,0,"Found 49 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
VTTDemo.tsx,other,78,medium,0,28,0,0,0,"Found 17 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
VTTApp.tsx,other,174,low,0,11,0,0,0,"Found 9 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
TokensPanel.tsx,other,193,high,0,54,0,1,0,"Found 31 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
SpecificErrorBoundaries.tsx,other,124,medium,0,40,0,0,0,"Found 23 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
SceneCanvas.tsx,other,379,low,1,0,0,1,0,"Found 1 hardcoded colors","Minor adjustments needed; Replace hardcoded colors with design system variables; Extract inline styles to CSS classes; Start using design system variables"
Router.tsx,other,235,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
PerformanceMonitor.tsx,other,216,high,0,62,0,0,0,"Found 32 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
MonsterBrowser.tsx,other,441,low,4,0,0,1,0,"Found 4 hardcoded colors","Minor adjustments needed; Replace hardcoded colors with design system variables; Extract inline styles to CSS classes; Start using design system variables"
MobileNavigation.tsx,other,95,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
MapEditor.tsx,other,335,low,4,0,0,0,0,"Found 4 hardcoded colors","Minor adjustments needed; Replace hardcoded colors with design system variables; Start using design system variables"
LazyWrapper.tsx,other,89,low,0,0,0,1,0,"","Minor adjustments needed; Extract inline styles to CSS classes; Start using design system variables"
LazyComponents.tsx,other,103,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
KeyboardNavigable.tsx,other,171,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
GameLobby.tsx,other,324,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
GameCanvas.tsx,other,905,medium,0,32,0,2,0,"Found 24 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
ErrorBoundary.tsx,other,237,medium,0,30,0,0,0,"Found 26 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
EncounterGenerator.tsx,other,334,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
DiceRoller.tsx,other,333,low,6,0,0,1,0,"Found 6 hardcoded colors","Minor adjustments needed; Replace hardcoded colors with design system variables; Extract inline styles to CSS classes; Start using design system variables"
CreateSessionModal.tsx,other,174,medium,0,45,0,0,0,"Found 25 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
CombatTrackerIntegrated.tsx,other,517,low,4,0,0,1,0,"Found 4 hardcoded colors","Minor adjustments needed; Replace hardcoded colors with design system variables; Extract inline styles to CSS classes; Start using design system variables"
CombatTracker.tsx,other,410,low,0,0,0,1,0,"","Minor adjustments needed; Extract inline styles to CSS classes; Start using design system variables"
ChatPanel.tsx,other,279,high,0,61,0,0,0,"Found 36 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CharacterSheet.tsx,other,599,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
AccessibleModal.tsx,other,126,low,0,4,0,0,0,"Found 4 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
AccessibleImage.tsx,other,120,low,0,0,0,3,0,"","Minor adjustments needed; Extract inline styles to CSS classes; Start using design system variables"
AccessibleButton.tsx,other,60,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
AIAssistant.tsx,other,239,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
VTTHeader.tsx,vtt,43,low,0,13,0,0,0,"Found 12 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
TokensPanel.tsx,vtt,54,low,0,17,0,1,0,"Found 15 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
LoadingScreen.tsx,vtt,31,low,0,10,0,0,0,"Found 10 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
ChatPanel.tsx,vtt,119,medium,0,35,0,0,0,"Found 23 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
Tooltip.tsx,ui,238,high,0,61,0,1,0,"Found 40 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
SimpleErrorBoundary.tsx,ui,81,low,0,11,0,0,0,"Found 11 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
Modal.tsx,ui,243,medium,0,40,0,0,0,"Found 29 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
LoadingSpinner.tsx,ui,215,high,0,66,0,0,0,"Found 36 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
LanguageSelector.tsx,ui,42,low,0,8,0,0,0,"Found 8 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
Input.tsx,ui,263,high,0,62,0,0,0,"Found 35 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
Icons.tsx,ui,52,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
ErrorBoundary.tsx,ui,375,high,0,51,0,0,0,"Found 27 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
Card.tsx,ui,120,medium,0,24,0,0,0,"Found 20 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
Button.tsx,ui,354,high,2,96,0,1,0,"Found 2 hardcoded colors; Found 40 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
WelcomeModal.tsx,other,332,high,0,232,0,0,0,"Found 70 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
TokenPropertiesPanel.tsx,map,481,high,24,109,0,4,0,"Found 24 hardcoded colors; Found 41 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
SceneSettingsModal.tsx,map,584,high,4,93,0,0,0,"Found 4 hardcoded colors; Found 24 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Start using design system variables"
MapViewer.tsx,map,1178,high,17,57,0,0,0,"Found 17 hardcoded colors; Found 26 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Start using design system variables"
MapUploadModal.tsx,map,399,high,0,78,0,1,0,"Found 43 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
MapLayersPanel.tsx,map,298,high,0,63,0,0,0,"Found 25 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
BattleMap.tsx,map,891,high,10,77,0,6,0,"Found 10 hardcoded colors; Found 35 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
PlayerPanel.tsx,game,399,high,0,150,0,1,0,"Found 52 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
DiceRoller.tsx,game,407,high,0,65,0,0,0,"Found 31 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
ChatSystem.tsx,game,436,high,0,103,0,0,0,"Found 39 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
DashboardLayout.tsx,dashboard,261,high,0,111,0,0,0,"Found 53 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
DashboardHome.tsx,dashboard,340,high,0,164,0,0,0,"Found 48 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CombatEncounterPanel.tsx,other,572,high,12,90,0,1,0,"Found 12 hardcoded colors; Found 37 Tailwind classes","Complete refactor recommended; Replace hardcoded colors with design system variables; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
SpellsPanel.tsx,other,607,high,0,188,0,0,0,"Found 42 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
SkillsPanel.tsx,other,330,high,0,85,0,0,0,"Found 35 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
NotesPanel.tsx,other,598,high,0,137,0,0,0,"Found 36 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
EquipmentPanel.tsx,other,505,high,0,153,0,0,0,"Found 41 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CharacterSheet.tsx,other,467,high,0,58,0,0,0,"Found 37 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
AbilityScores.tsx,other,447,high,0,123,0,0,0,"Found 29 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CreateCampaignModal.tsx,campaigns,420,high,0,139,0,0,0,"Found 57 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CampaignsList.tsx,campaigns,399,high,0,136,0,0,0,"Found 57 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CampaignMapManager.tsx,campaigns,974,high,0,182,0,0,0,"Found 59 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
BillingDashboard.tsx,other,407,high,0,168,0,4,0,"Found 50 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
RegisterForm.tsx,auth,421,high,0,59,0,1,0,"Found 29 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Extract inline styles to CSS classes; Start using design system variables"
LoginForm.tsx,auth,285,medium,0,41,0,0,0,"Found 22 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
GenesisWizard.tsx,ai,599,high,0,216,0,0,0,"Found 59 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CombatAssistant.tsx,ai,266,high,0,96,0,0,0,"Found 35 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
